title,location,precio,basic_features,extra_features
Piso en venta en calle San Fernando,Centro Tradicional,510000,"['180 m² construidos, 145 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1982', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n43,42 kWh/m² año', 'Emisiones: \n43,42 kg CO2/m² año']"
Piso en venta en Centro Tradicional,Centro,1400000,"['315 m² construidos, 270 m² útiles', '4 habitaciones', '4 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1900', 'Calefacción individual: Bomba de frío/calor', 'Planta 2ª exterior', 'Sin ascensor']","['Aire acondicionado', 'Consumo: \n177 kWh/m² año', 'Emisiones: \n32 kg CO2/m² año']"
Estudio en venta en Centro Tradicional,Centro,150000,"['27 m² construidos, 23 m² útiles', 'Sin habitación', '1 baño', 'Segunda mano/buen estado', 'Construido en 1992', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle San Fernando,Centro Tradicional,470000,"['160 m² construidos, 140 m² útiles', '5 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 1ª exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle del Medico Pascual Perez,Centro Tradicional,225000,"['126 m² construidos, 99 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1977', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en Centro Tradicional,Centro,350000,"['95 m² construidos, 83 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2006', 'No dispone de calefacción', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en Centro Tradicional,Centro,328000,"['179 m² construidos, 177 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Centro Tradicional,Centro,325000,"['109 m² construidos, 92 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2006', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en Centro Tradicional,Centro,975000,"['294 m² construidos, 280 m² útiles', '5 habitaciones', '4 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1976', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Ático en venta en Centro Tradicional,Centro,350000,"['95 m² construidos, 83 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2006', 'No dispone de calefacción', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
