title,location,precio,basic_features,extra_features
Piso en venta en calle Enriqueta Elizaicin,Babel,169000,"['90 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este, oeste', 'Calefacción individual: Bomba de frío/calor', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Foglietti,Benalúa,159900,"['150 m² construidos, 121 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Ático en venta en calle de la Vega,La Florida,129000,"['172 m² construidos, 96 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Orientación norte, este', 'Construido en 1969', 'No dispone de calefacción', 'Planta 4ª exterior', 'Sin ascensor']",['En trámite']
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,209000,"['158 m² construidos, 140 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1980', 'Calefacción individual', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Babel,Benalúa-La Florida-Babel-San Gabriel,118950,"['85 m² construidos, 80 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte, este', 'No dispone de calefacción', 'Planta 5ª exterior', 'Con ascensor']","['Consumo: \n138 kWh/m² año', 'Emisiones: \n39 kg CO2/m² año']"
Piso en venta en calle Arturo,La Florida,106000,"['81 m² construidos', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Construido en 1969', 'Calefacción individual', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Arturo,La Florida,106000,"['81 m² construidos', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Construido en 1969', 'Calefacción individual', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Sirio,La Florida,89000,"['87 m² construidos', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Calefacción individual: Eléctrica', 'Planta 3ª exterior', 'Sin ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en avenida Catedratico Soler,Benalúa,199000,"['140 m² construidos, 115 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Calefacción individual', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Pardo Gimeno,Babel,195000,"['126 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1980', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']","['Zonas verdes', 'En trámite']"
